ordinance,summary,votes
"34,045","An Ordinance to amend and reordain Sections 162-1656 and 162-1669 of the Code of the City
of New Orleans to increase the total number of pedicab CPNCs to be issued, to align Sec.
162-1656 with the transfer of ground transportation administration to the Department of
Public Works as established via Ordinance Calendar No. 33,245, to update the Code citation
within Sec. 162-1669; and otherwise to provide with respect thereto.",Green - yeas
"34,045","An Ordinance to amend and reordain Sections 162-1656 and 162-1669 of the Code of the City
of New Orleans to increase the total number of pedicab CPNCs to be issued, to align Sec.
162-1656 with the transfer of ground transportation administration to the Department of
Public Works as established via Ordinance Calendar No. 33,245, to update the Code citation
within Sec. 162-1669; and otherwise to provide with respect thereto.",Harris - yeas
"34,045","An Ordinance to amend and reordain Sections 162-1656 and 162-1669 of the Code of the City
of New Orleans to increase the total number of pedicab CPNCs to be issued, to align Sec.
162-1656 with the transfer of ground transportation administration to the Department of
Public Works as established via Ordinance Calendar No. 33,245, to update the Code citation
within Sec. 162-1669; and otherwise to provide with respect thereto.",King - yeas
"34,045","An Ordinance to amend and reordain Sections 162-1656 and 162-1669 of the Code of the City
of New Orleans to increase the total number of pedicab CPNCs to be issued, to align Sec.
162-1656 with the transfer of ground transportation administration to the Department of
Public Works as established via Ordinance Calendar No. 33,245, to update the Code citation
within Sec. 162-1669; and otherwise to provide with respect thereto.",Moreno - yeas
"34,045","An Ordinance to amend and reordain Sections 162-1656 and 162-1669 of the Code of the City
of New Orleans to increase the total number of pedicab CPNCs to be issued, to align Sec.
162-1656 with the transfer of ground transportation administration to the Department of
Public Works as established via Ordinance Calendar No. 33,245, to update the Code citation
within Sec. 162-1669; and otherwise to provide with respect thereto.",Thomas - yeas
"34,045","An Ordinance to amend and reordain Sections 162-1656 and 162-1669 of the Code of the City
of New Orleans to increase the total number of pedicab CPNCs to be issued, to align Sec.
162-1656 with the transfer of ground transportation administration to the Department of
Public Works as established via Ordinance Calendar No. 33,245, to update the Code citation
within Sec. 162-1669; and otherwise to provide with respect thereto.",Morrell - absent
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Giarrusso - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Harris - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",King - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Moreno - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Morrell - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Thomas - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Invalid
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Green - absent
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Giarrusso - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Green - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Harris - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",King - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Moreno - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Morrell - yeas
"34,046","An Ordinance to establish section 26-80 of the Code of the City of New Orleans relative to
inspections of multi-family housing units of ten units or more when there is a violent crime
incident on the premises; and otherwise to provide with respect thereto.",Thomas - yeas
"34,047","An Ordinance to authorize the Mayor of the City of New Orleans to enter into a new
Cooperative Endeavor Agreement (""CEA"") with Lakeview Crime Prevention District
(""LCPD""), to aid in crime prevention and to add to the security of district residents by
providing for an increase in the presence of law enforcement personnel in the LCPD, as more
fully detailed in the CEA as Exhibit ""1""; and otherwise to provide with respect thereto.",Giarrusso - yeas
"34,047","An Ordinance to authorize the Mayor of the City of New Orleans to enter into a new
Cooperative Endeavor Agreement (""CEA"") with Lakeview Crime Prevention District
(""LCPD""), to aid in crime prevention and to add to the security of district residents by
providing for an increase in the presence of law enforcement personnel in the LCPD, as more
fully detailed in the CEA as Exhibit ""1""; and otherwise to provide with respect thereto.",Green - yeas
"34,047","An Ordinance to authorize the Mayor of the City of New Orleans to enter into a new
Cooperative Endeavor Agreement (""CEA"") with Lakeview Crime Prevention District
(""LCPD""), to aid in crime prevention and to add to the security of district residents by
providing for an increase in the presence of law enforcement personnel in the LCPD, as more
fully detailed in the CEA as Exhibit ""1""; and otherwise to provide with respect thereto.",Harris - yeas
"34,047","An Ordinance to authorize the Mayor of the City of New Orleans to enter into a new
Cooperative Endeavor Agreement (""CEA"") with Lakeview Crime Prevention District
(""LCPD""), to aid in crime prevention and to add to the security of district residents by
providing for an increase in the presence of law enforcement personnel in the LCPD, as more
fully detailed in the CEA as Exhibit ""1""; and otherwise to provide with respect thereto.",King - yeas
"34,047","An Ordinance to authorize the Mayor of the City of New Orleans to enter into a new
Cooperative Endeavor Agreement (""CEA"") with Lakeview Crime Prevention District
(""LCPD""), to aid in crime prevention and to add to the security of district residents by
providing for an increase in the presence of law enforcement personnel in the LCPD, as more
fully detailed in the CEA as Exhibit ""1""; and otherwise to provide with respect thereto.",Moreno - yeas
"34,047","An Ordinance to authorize the Mayor of the City of New Orleans to enter into a new
Cooperative Endeavor Agreement (""CEA"") with Lakeview Crime Prevention District
(""LCPD""), to aid in crime prevention and to add to the security of district residents by
providing for an increase in the presence of law enforcement personnel in the LCPD, as more
fully detailed in the CEA as Exhibit ""1""; and otherwise to provide with respect thereto.",Morrell - absent
"34,047","An Ordinance to authorize the Mayor of the City of New Orleans to enter into a new
Cooperative Endeavor Agreement (""CEA"") with Lakeview Crime Prevention District
(""LCPD""), to aid in crime prevention and to add to the security of district residents by
providing for an increase in the presence of law enforcement personnel in the LCPD, as more
fully detailed in the CEA as Exhibit ""1""; and otherwise to provide with respect thereto.",Thomas - absent
"34,048","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and Total Community
Action, Inc. (""Contractor""), for a term greater than one year, for the public purpose of
reducing food insecurity and improving the overall health of households in targeted, low-
income City neighborhoods at 1420 S. Norman C. Francis Pkwy ., New Orleans, Louisiana
70125, as more fully set forth in the Cooperative Endeavor Agreement, titled Exhibit ""1""; and
otherwise to provide with respect thereto.",Giarrusso - yeas
"34,048","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and Total Community
Action, Inc. (""Contractor""), for a term greater than one year, for the public purpose of
reducing food insecurity and improving the overall health of households in targeted, low-
income City neighborhoods at 1420 S. Norman C. Francis Pkwy ., New Orleans, Louisiana
70125, as more fully set forth in the Cooperative Endeavor Agreement, titled Exhibit ""1""; and
otherwise to provide with respect thereto.",Green - yeas
"34,048","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and Total Community
Action, Inc. (""Contractor""), for a term greater than one year, for the public purpose of
reducing food insecurity and improving the overall health of households in targeted, low-
income City neighborhoods at 1420 S. Norman C. Francis Pkwy ., New Orleans, Louisiana
70125, as more fully set forth in the Cooperative Endeavor Agreement, titled Exhibit ""1""; and
otherwise to provide with respect thereto.",Harris - yeas
"34,048","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and Total Community
Action, Inc. (""Contractor""), for a term greater than one year, for the public purpose of
reducing food insecurity and improving the overall health of households in targeted, low-
income City neighborhoods at 1420 S. Norman C. Francis Pkwy ., New Orleans, Louisiana
70125, as more fully set forth in the Cooperative Endeavor Agreement, titled Exhibit ""1""; and
otherwise to provide with respect thereto.",King - yeas
"34,048","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and Total Community
Action, Inc. (""Contractor""), for a term greater than one year, for the public purpose of
reducing food insecurity and improving the overall health of households in targeted, low-
income City neighborhoods at 1420 S. Norman C. Francis Pkwy ., New Orleans, Louisiana
70125, as more fully set forth in the Cooperative Endeavor Agreement, titled Exhibit ""1""; and
otherwise to provide with respect thereto.",Moreno - yeas
"34,048","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and Total Community
Action, Inc. (""Contractor""), for a term greater than one year, for the public purpose of
reducing food insecurity and improving the overall health of households in targeted, low-
income City neighborhoods at 1420 S. Norman C. Francis Pkwy ., New Orleans, Louisiana
70125, as more fully set forth in the Cooperative Endeavor Agreement, titled Exhibit ""1""; and
otherwise to provide with respect thereto.",Morrell - absent
"34,048","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and Total Community
Action, Inc. (""Contractor""), for a term greater than one year, for the public purpose of
reducing food insecurity and improving the overall health of households in targeted, low-
income City neighborhoods at 1420 S. Norman C. Francis Pkwy ., New Orleans, Louisiana
70125, as more fully set forth in the Cooperative Endeavor Agreement, titled Exhibit ""1""; and
otherwise to provide with respect thereto.",Thomas - absent
"34,049","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and Orleans Public
Defenders (""OPD""), for a term greater than one year, for the public purpose in assisting the
OPD with providing legal services to indigent persons in criminal proceedings within the City
of New Orleans, as more fully detailed in the Cooperative Endeavor Agreement as Exhibit
""A""; and otherwise to provide with respect thereto.",Giarrusso - yeas
"34,049","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and Orleans Public
Defenders (""OPD""), for a term greater than one year, for the public purpose in assisting the
OPD with providing legal services to indigent persons in criminal proceedings within the City
of New Orleans, as more fully detailed in the Cooperative Endeavor Agreement as Exhibit
""A""; and otherwise to provide with respect thereto.",Green - yeas
"34,049","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and Orleans Public
Defenders (""OPD""), for a term greater than one year, for the public purpose in assisting the
OPD with providing legal services to indigent persons in criminal proceedings within the City
of New Orleans, as more fully detailed in the Cooperative Endeavor Agreement as Exhibit
""A""; and otherwise to provide with respect thereto.",Harris - yeas
"34,049","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and Orleans Public
Defenders (""OPD""), for a term greater than one year, for the public purpose in assisting the
OPD with providing legal services to indigent persons in criminal proceedings within the City
of New Orleans, as more fully detailed in the Cooperative Endeavor Agreement as Exhibit
""A""; and otherwise to provide with respect thereto.",King - yeas
"34,049","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and Orleans Public
Defenders (""OPD""), for a term greater than one year, for the public purpose in assisting the
OPD with providing legal services to indigent persons in criminal proceedings within the City
of New Orleans, as more fully detailed in the Cooperative Endeavor Agreement as Exhibit
""A""; and otherwise to provide with respect thereto.",Moreno - yeas
"34,049","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and Orleans Public
Defenders (""OPD""), for a term greater than one year, for the public purpose in assisting the
OPD with providing legal services to indigent persons in criminal proceedings within the City
of New Orleans, as more fully detailed in the Cooperative Endeavor Agreement as Exhibit
""A""; and otherwise to provide with respect thereto.",Thomas - yeas
"34,049","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and Orleans Public
Defenders (""OPD""), for a term greater than one year, for the public purpose in assisting the
OPD with providing legal services to indigent persons in criminal proceedings within the City
of New Orleans, as more fully detailed in the Cooperative Endeavor Agreement as Exhibit
""A""; and otherwise to provide with respect thereto.",Morrell - absent
"34,050","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the Arts Council of
New Orleans (""Arts Council"") for a term greater than one year, to accomplish the public
purpose of supporting the arts within the City the Community Arts Grants program, as more
fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Giarrusso - yeas
"34,050","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the Arts Council of
New Orleans (""Arts Council"") for a term greater than one year, to accomplish the public
purpose of supporting the arts within the City the Community Arts Grants program, as more
fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Harris - yeas
"34,050","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the Arts Council of
New Orleans (""Arts Council"") for a term greater than one year, to accomplish the public
purpose of supporting the arts within the City the Community Arts Grants program, as more
fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",King - yeas
"34,050","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the Arts Council of
New Orleans (""Arts Council"") for a term greater than one year, to accomplish the public
purpose of supporting the arts within the City the Community Arts Grants program, as more
fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Moreno - yeas
"34,050","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the Arts Council of
New Orleans (""Arts Council"") for a term greater than one year, to accomplish the public
purpose of supporting the arts within the City the Community Arts Grants program, as more
fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Thomas - yeas
"34,050","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the Arts Council of
New Orleans (""Arts Council"") for a term greater than one year, to accomplish the public
purpose of supporting the arts within the City the Community Arts Grants program, as more
fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Green - absent
"34,050","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the Arts Council of
New Orleans (""Arts Council"") for a term greater than one year, to accomplish the public
purpose of supporting the arts within the City the Community Arts Grants program, as more
fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Morrell - absent
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Giarrusso - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Green - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Harris - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Moreno - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Morrell - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Thomas - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",King - absent
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Giarrusso - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Green - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Harris - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Moreno - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Morrell - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",Thomas - yeas
"34,057","An Ordinance to ordain Article XV of Chapter 2 of the Code of the City of New Orleans,
consisting of Section 2-1200; to provide relative to emergency declarations; and otherwise to
provide with respect thereto.",King - absent
"34,058","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the New Orleans
Redevelopment Authority (""NORA""), for a term greater than one year, for the public purpose
of the redevelopment of the former Six Flags/Jazzland site in the City of New Orleans, as
more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Giarrusso - yeas
"34,058","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the New Orleans
Redevelopment Authority (""NORA""), for a term greater than one year, for the public purpose
of the redevelopment of the former Six Flags/Jazzland site in the City of New Orleans, as
more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Green - yeas
"34,058","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the New Orleans
Redevelopment Authority (""NORA""), for a term greater than one year, for the public purpose
of the redevelopment of the former Six Flags/Jazzland site in the City of New Orleans, as
more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Harris - yeas
"34,058","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the New Orleans
Redevelopment Authority (""NORA""), for a term greater than one year, for the public purpose
of the redevelopment of the former Six Flags/Jazzland site in the City of New Orleans, as
more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",King - yeas
"34,058","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the New Orleans
Redevelopment Authority (""NORA""), for a term greater than one year, for the public purpose
of the redevelopment of the former Six Flags/Jazzland site in the City of New Orleans, as
more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Thomas - yeas
"34,058","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the New Orleans
Redevelopment Authority (""NORA""), for a term greater than one year, for the public purpose
of the redevelopment of the former Six Flags/Jazzland site in the City of New Orleans, as
more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Moreno - absent
"34,058","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City"") and the New Orleans
Redevelopment Authority (""NORA""), for a term greater than one year, for the public purpose
of the redevelopment of the former Six Flags/Jazzland site in the City of New Orleans, as
more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise to
provide with respect thereto.",Morrell - absent
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Giarrusso - yeas
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Green - yeas
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Harris - yeas
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",King - yeas
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Thomas - yeas
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Invalid
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Moreno - recused
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Morrell - recused
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Giarrusso - yeas
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Green - yeas
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Harris - yeas
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",King - yeas
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Thomas - yeas
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Moreno - absent
"34,059","An Ordinance authorizing the Mayor of the City of New Orleans to enter into a Cooperative
Endeavor Agreement between the City of New Orleans (the ""City""), and The Louisiana Music
and Heritage Experience, Inc. (""LMHE""), for a term greater than one year, for the public
purpose of the preservation and education of the history of music in the City of New Orleans,
as more fully detailed in the Cooperative Endeavor Agreement as Exhibit ""A""; and otherwise
to provide with respect thereto.",Morrell - absent
"34,061","An Ordinance to amend Ordinance No. 29266 M.C.S ., as amended, entitled ""An Ordinance
Providing an Operating Budget of Expenditures for the City of New Orleans for the Year
2023,"" to appropriate funds received under Act 170 of the 2022 Regular Legislative Session to
the New Orleans Police Department to purchase furniture, operational materials, and
information technology equipment; and otherwise, to provide with respect thereto.",Giarrusso - yeas
"34,061","An Ordinance to amend Ordinance No. 29266 M.C.S ., as amended, entitled ""An Ordinance
Providing an Operating Budget of Expenditures for the City of New Orleans for the Year
2023,"" to appropriate funds received under Act 170 of the 2022 Regular Legislative Session to
the New Orleans Police Department to purchase furniture, operational materials, and
information technology equipment; and otherwise, to provide with respect thereto.",Green - yeas
